门店ID,门店名称,业态分类,楼层,经营场景,租赁面积(sqm),本月销售额,销售环比(%),进店率(%),成交转化率(%),租售比(%),欠费总额(元),欠费天数,保证金覆盖率(%),水电费波动(%),近90天投诉数,退款申请数,续费率(%),安全巡检分,家长投诉率(‰),风险得分,风险等级
SHOP_016,初见花艺,精品零售,F3,欠费承压,180,488085,-14.2,9.3,17.6,28.1,37596,25,86.0,-14.6,4,0,,,,34,中
SHOP_017,一家好物,精品零售,F2,健康,223,655600,6.5,21.6,14.8,17.6,0,0,95.5,-2.9,3,0,,,,0,低
SHOP_018,未央皮具,精品零售,F3,健康,237,520670,3.4,15.9,20.7,13.1,0,0,138.7,0.2,3,0,,,,0,低
SHOP_019,松果文创,精品零售,F3,持续下滑,109,336461,-28.4,8.8,9.2,20.4,11892,22,151.8,-8.7,5,0,,,,37,中
SHOP_020,星期八潮品,精品零售,F1,短期波动,148,214173,-9.9,13.2,22.3,23.9,0,0,118.7,-6.3,3,0,,,,4,低
SHOP_021,ORIGIN男装,精品零售,F2,健康,229,200761,-0.7,17.4,22.6,11.0,0,0,103.0,6.5,1,0,,,,0,低
SHOP_022,MUSE女装,精品零售,F3,持续下滑,116,203729,-25.1,4.1,12.4,22.8,12358,4,158.1,-5.4,7,0,,,,43,中
SHOP_023,山茶珠宝,精品零售,F3,短期波动,249,507422,-9.9,12.7,19.6,15.8,0,0,150.0,-5.7,5,0,,,,3,低
SHOP_024,蓝盒数码,精品零售,F1,健康,253,382768,1.8,18.4,22.9,10.4,0,0,110.9,4.3,2,0,,,,0,低
SHOP_025,拾光礼品,精品零售,F1,短期波动,229,466734,-9.7,7.7,12.1,15.9,0,0,122.6,-5.5,5,0,,,,3,低
SHOP_026,北街鞋履,精品零售,F1,健康,206,475649,-1.7,18.7,32.0,12.0,0,0,140.8,-3.3,3,0,,,,0,低
SHOP_027,PAPERMOOD文具,精品零售,F1,短期波动,192,534135,-11.2,7.5,20.6,18.1,0,0,120.9,-8.5,5,0,,,,15,低
SHOP_028,芙鹿香氛,精品零售,F2,区域性下滑,94,276465,-11.9,9.7,17.7,24.8,0,0,101.0,0.7,6,0,,,,15,低
SHOP_029,AFTER RAIN服饰,精品零售,F1,健康,187,564706,0.4,13.0,23.0,13.3,0,0,142.6,2.4,2,0,,,,0,低
SHOP_030,COTTON TREE内衣,精品零售,F2,转化恶化,223,143108,-12.9,16.4,9.0,20.4,0,0,93.0,-1.5,7,0,,,,15,低
SHOP_031,川隐小馆,餐饮,F5,持续下滑,224,418291,-32.0,4.6,10.0,29.0,26000,32,143.3,-22.0,5,0,,,,61,高
SHOP_032,渔火砂锅,餐饮,F4,转化恶化,495,325689,-8.2,13.6,8.6,29.1,0,0,88.2,7.8,2,0,,,,9,低
SHOP_033,山城冒菜,餐饮,F4,健康,203,1084314,2.6,15.5,21.0,12.7,0,0,150.3,-1.2,1,0,,,,0,低
SHOP_034,鹿港茶餐厅,餐饮,F3,健康,437,1231048,-2.5,19.2,15.1,10.5,0,0,113.8,7.3,1,0,,,,0,低
SHOP_035,南洋椰子鸡,餐饮,F5,健康,444,1314768,3.9,20.8,29.6,14.3,0,0,145.1,7.3,2,0,,,,0,低
SHOP_036,松鹤烧肉,餐饮,F3,持续下滑,226,704835,-22.9,8.8,12.4,25.2,8717,21,139.1,-13.0,6,0,,,,32,中
SHOP_037,京巷烤鸭,餐饮,F5,健康,469,694839,5.7,19.1,16.3,14.5,0,0,123.4,-3.1,0,0,,,,0,低
SHOP_038,米仓日料,餐饮,F3,健康,282,675716,2.8,14.6,29.3,12.3,0,0,153.9,7.9,0,0,,,,0,低
SHOP_039,半山牛肉粉,餐饮,F3,健康,141,947864,3.3,13.3,33.3,17.9,0,0,148.9,7.5,0,0,,,,0,低
SHOP_040,桂满陇,餐饮,F3,健康,469,889867,-1.9,21.9,23.2,19.4,0,0,138.2,7.0,0,0,,,,4,低
SHOP_041,花椒院子,餐饮,F3,短期波动,391,996249,-11.9,10.7,22.1,23.0,0,0,110.1,-9.0,4,0,,,,15,低
SHOP_042,竹里火锅,餐饮,F3,短期波动,452,502059,-8.4,12.5,26.0,17.1,0,0,113.3,0.8,1,0,,,,0,低
SHOP_043,青柠泰厨,餐饮,F4,健康,134,415464,4.8,12.2,25.6,11.9,0,0,92.7,0.4,3,0,,,,0,低
SHOP_044,云海米线,餐饮,F4,健康,475,827412,7.8,21.9,20.5,18.8,0,0,91.4,-1.0,2,0,,,,4,低
SHOP_045,烟火烤肉,餐饮,F4,健康,359,645916,-2.4,19.4,16.8,13.4,0,0,155.8,-0.9,2,0,,,,0,低
SHOP_046,一碗兰州,餐饮,F3,健康,358,662891,7.9,10.7,24.6,19.9,0,0,108.9,0.6,2,0,,,,4,低
SHOP_047,黑石牛排,餐饮,F5,短期波动,502,507517,-10.6,13.0,16.0,21.2,0,0,154.7,-7.6,1,0,,,,12,低
SHOP_048,喜悦甜品,餐饮,F5,持续下滑,124,647682,-16.5,9.5,9.5,27.7,12960,14,108.0,-16.1,5,0,,,,32,中
SHOP_049,茶庭书道,餐饮,F5,欠费承压,396,956202,-13.9,5.1,12.0,28.7,53631,47,43.7,-17.1,6,0,,,,48,中
SHOP_050,林里柠檬茶,餐饮,F4,健康,126,1093029,1.8,20.7,28.6,17.4,0,0,143.2,-2.6,2,0,,,,0,低
SHOP_051,野火披萨,餐饮,F5,区域性下滑,262,1073197,-12.0,9.1,15.0,17.5,0,0,112.2,-13.7,1,0,,,,8,低
SHOP_052,稻田寿司,餐饮,F5,健康,324,838291,0.4,12.8,23.1,14.1,0,0,134.3,3.7,3,0,,,,0,低
SHOP_053,小满粥铺,餐饮,F3,欠费承压,395,650456,-11.6,11.2,14.1,34.3,52028,42,73.3,-17.2,8,0,,,,49,中
SHOP_054,三巡咖啡,餐饮,F5,短期波动,360,999678,-9.2,10.1,18.2,15.3,0,0,125.5,-0.0,5,0,,,,3,低
SHOP_055,沸点酸菜鱼,餐饮,F3,转化恶化,200,816656,-13.6,11.6,8.5,21.9,0,0,117.2,-0.9,7,0,,,,15,低
SHOP_056,谷雨面馆,餐饮,F4,疑似撤店,193,909172,-30.5,6.7,11.4,37.1,35082,58,32.1,-44.6,10,0,,,,70,高
SHOP_057,乐芽成长中心,儿童配套,F4,欠费承压,147,108563,-20.0,6.5,8.5,28.0,31000,38,75.0,-10.0,6,7,51.0,80.0,5.2,65,高
SHOP_058,星宝亲子馆,儿童配套,F3,健康,336,455901,6.0,10.7,30.8,14.7,0,0,124.8,-2.5,1,0,79.7,89.0,2.86,0,低
SHOP_059,童学社,儿童配套,F4,区域性下滑,315,208816,-18.0,7.7,18.5,22.2,0,0,85.6,-5.4,3,4,49.5,82.6,3.95,20,低
SHOP_060,小鲸游泳学院,儿童配套,F3,健康,419,526861,4.8,10.2,28.6,16.5,0,0,110.2,-3.7,0,1,69.3,83.1,2.5,0,低
SHOP_061,彩虹艺术课堂,儿童配套,F3,健康,251,404396,4.6,12.6,31.3,13.6,0,0,98.1,-4.6,1,2,59.1,84.1,1.55,0,低
SHOP_062,奇趣科学馆,儿童配套,F3,持续下滑,236,385812,-18.2,6.3,11.6,27.5,888,16,114.9,-17.2,6,7,59.4,82.5,4.66,28,低
SHOP_063,知禾阅读馆,儿童配套,F3,短期波动,173,203691,-10.6,9.9,23.0,21.3,0,0,118.5,5.4,1,3,57.5,82.3,1.85,12,低
SHOP_064,启星编程,儿童配套,F3,转化恶化,251,177394,-12.5,15.9,8.0,19.8,0,0,140.0,5.4,5,5,56.3,93.2,2.62,21,低
SHOP_065,咕噜儿童摄影,儿童配套,F3,健康,203,394706,3.4,11.5,21.3,13.8,0,0,80.3,3.2,3,5,61.4,96.9,2.1,2,低
SHOP_066,小小运动家,儿童配套,F4,欠费承压,166,202119,-8.6,10.4,16.6,37.0,58068,21,89.6,-16.4,3,5,52.5,93.9,3.8,38,中
SHOP_067,贝塔积木工坊,儿童配套,F4,健康,172,356216,-0.0,12.3,23.2,18.0,0,0,90.2,3.3,1,4,78.0,82.2,3.38,0,低
SHOP_068,萌芽托育,儿童配套,F4,健康,377,462098,-0.1,15.6,28.4,12.8,0,0,129.3,-4.5,1,2,70.1,93.3,3.45,0,低
SHOP_069,云朵舞蹈教室,儿童配套,F4,健康,362,434001,5.5,17.0,17.8,10.7,0,0,97.8,4.7,3,2,86.3,93.6,4.33,0,低
SHOP_070,海豚音乐启蒙,儿童配套,F3,健康,350,340036,0.5,20.1,17.7,16.4,0,0,105.3,0.2,1,3,83.2,92.1,2.62,0,低
SHOP_071,木马王国乐园,儿童配套,F3,健康,400,298176,3.1,16.7,21.6,15.5,0,0,119.2,-4.9,3,3,86.8,86.3,2.62,0,低
SHOP_072,南瓜少儿美术,儿童配套,F4,短期波动,382,560054,-9.0,7.1,26.0,18.0,0,0,146.0,-2.0,2,5,75.9,96.4,2.69,4,低
SHOP_073,星幕影城,主力店,B1,区域性下滑,842,4270797,-26.0,4.8,13.0,22.0,0,0,144.8,-18.0,4,0,,,,29,低
SHOP_074,悦购精品超市,主力店,F1,持续下滑,880,1861584,-24.6,7.0,10.8,32.3,17707,23,89.1,-5.1,8,0,,,,45,中
SHOP_075,盒里鲜生,主力店,F5,健康,1370,3278541,3.2,15.9,19.9,20.6,0,0,98.5,4.0,2,0,,,,4,低
SHOP_076,万家生活超市,主力店,B1,短期波动,780,2721383,-9.4,8.2,26.0,19.5,0,0,145.2,-0.1,5,0,,,,7,低
SHOP_077,云仓家居,主力店,F5,健康,1808,2623941,4.3,18.8,22.8,17.2,0,0,113.8,5.0,1,0,,,,0,低
SHOP_078,乐享健身中心,主力店,F1,健康,1096,4547538,1.5,21.7,27.0,12.5,0,0,93.1,4.1,3,0,,,,0,低
SHOP_079,知新书城,主力店,F5,健康,1366,4546470,7.6,19.4,30.6,16.3,0,0,113.0,5.8,3,0,,,,0,低
SHOP_080,极光电器,主力店,F5,短期波动,1384,3603851,-7.9,10.7,18.7,15.4,0,0,123.6,-9.1,2,0,,,,0,低
SHOP_081,都会百货,主力店,F1,健康,1264,3558695,-1.7,9.8,31.1,12.7,0,0,140.1,1.5,1,0,,,,0,低
SHOP_082,NOVA数字生活馆,主力店,F5,转化恶化,1468,4609617,-10.4,17.7,9.9,19.0,0,0,112.7,-0.7,2,0,,,,12,低
SHOP_083,净衣坊洗护,生活服务,F2,欠费承压,83,118733,-24.0,4.5,9.0,34.0,52000,64,55.0,-22.0,5,0,,,,71,高
SHOP_084,青柠美甲,生活服务,B1,健康,121,149653,7.5,12.7,20.6,19.6,0,0,142.5,4.8,2,0,,,,4,低
SHOP_085,悦修手机维修,生活服务,F4,持续下滑,82,154911,-23.4,9.5,7.2,30.4,5316,10,103.3,-19.4,3,0,,,,35,中
SHOP_086,安齿口腔,生活服务,F2,健康,109,281090,4.8,21.1,23.9,10.2,0,0,85.3,6.4,1,0,,,,2,低
SHOP_087,云剪造型,生活服务,F4,健康,74,192585,-1.1,15.4,31.4,19.3,0,0,139.9,7.1,1,0,,,,4,低
SHOP_088,邻里花店,生活服务,B1,转化恶化,95,206603,-10.8,17.9,7.5,28.3,0,0,80.0,-4.6,3,0,,,,23,低
SHOP_089,轻氧皮肤管理,生活服务,B1,健康,73,149949,0.7,19.9,31.1,18.2,0,0,146.1,5.0,2,0,,,,4,低
SHOP_090,白塔照相馆,生活服务,F4,健康,150,178918,-2.5,15.3,15.7,17.4,0,0,106.6,0.5,2,0,,,,0,低
SHOP_091,快印先生,生活服务,F2,健康,125,255118,5.5,20.1,27.0,17.9,0,0,144.8,1.4,3,0,,,,0,低
SHOP_092,暖心宠物护理,生活服务,B1,短期波动,77,76685,-6.1,11.4,18.1,16.9,0,0,80.8,2.9,5,0,,,,5,低
SHOP_093,跃动工场,潮流运动,F3,疑似撤店,322,218018,-36.0,3.5,6.0,38.0,66000,72,48.0,-45.0,8,0,,,,90,极高
SHOP_094,风速跑步中心,潮流运动,F2,短期波动,248,456554,-10.3,12.0,19.8,23.4,0,0,154.2,5.8,4,0,,,,15,低
SHOP_095,潮跑装备,潮流运动,F2,健康,294,246317,-0.5,11.1,19.4,12.0,0,0,139.5,0.7,1,0,,,,0,低
SHOP_096,燃点篮球馆,潮流运动,F1,健康,302,495933,2.9,21.7,29.6,20.6,0,0,133.3,5.5,1,0,,,,4,低
SHOP_097,锋线足球社,潮流运动,F2,短期波动,215,415223,-10.3,13.9,16.9,17.1,0,0,99.3,-6.6,4,0,,,,11,低
SHOP_098,飞轮骑行,潮流运动,F2,健康,285,719458,3.8,12.8,16.1,11.0,0,0,151.9,4.3,0,0,,,,0,低
SHOP_099,MOTION LAB运动集合,潮流运动,F1,健康,143,755779,3.6,20.5,31.2,20.5,0,0,127.0,6.4,3,0,,,,4,低
SHOP_100,山野户外,潮流运动,F3,健康,264,803215,3.9,15.6,24.6,17.5,0,0,147.1,1.3,3,0,,,,0,低
